Rank,Recommended action,Score impact,Points achieved,Status,Regressed,Have license?,Category,Product,Last synced ,Microsoft update,Notes
105,Enable 'Block third party cookies',+0.15%,	1.77/2,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
106,Enable 'Require domain users to elevate when setting a network's location',+0.15%,	1.77/2,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
107,Disable 'Continue running background apps when Google Chrome is closed',+0.37%,	4.8/5,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
108,Disable 'Autoplay for non-volume devices',+0.37%,	4.8/5,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
109,Set controlled folder access to enabled or audit mode,+0.58%,	7.81/8,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
110,Disable 'Installation and configuration of Network Bridge on your DNS domain network',+0.37%,	4.81/5,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
111,Enable 'Network Protection',+0.58%,	7.82/8,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
112,Set 'Remote Desktop security level' to 'TLS',+0.58%,	7.83/8,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
113,Set Microsoft Defender SmartScreen app and file checking to block or warn,+0.66%,	8.86/9,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
114,Change service executable path to a common protected location,+0.58%,	7.86/8,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
115,Disable 'Configure Offer Remote Assistance',+0.37%,	4.9/5,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
116,Turn on Tamper Protection,+0.58%,	7.92/8,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
117,Fix Windows Defender Antivirus cloud service connectivity,+0.58%,	7.93/8,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
118,Enable scanning of removable drives during a full scan,+0.58%,	7.93/8,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
119,Update Microsoft Defender for Endpoint core components,+0.73%,	9.94/10,To address,Yes,Yes,Device,Defender for Endpoint,1/5/2023,None,
120,Enable 'Apply UAC restrictions to local accounts on network logons',+0.37%,	4.96/5,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
121,Disable 'Domain member: Disable machine account password changes',+0.15%,	1.96/2,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
122,Resume BitLocker protection on all drives,+0.66%,	8.97/9,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
123,Turn on Microsoft Defender Antivirus,+0.73%,	9.98/10,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
124,Turn on real-time protection,+0.73%,	9.98/10,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
125,Set 'Account lockout threshold' to 1-10 invalid login attempts,+0.44%,	5.98/6,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
126,Turn on Microsoft Defender Firewall,+0.73%,	9.99/10,To address,Yes,Yes,Device,Defender for Endpoint,1/5/2023,None,
127,Disable 'Always install with elevated privileges',+0.58%,	7.99/8,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
128,Remove share write permission set to ‘Everyone’,+0.58%,	7.99/8,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
129,Enable Microsoft Defender Antivirus scanning of downloaded files and attachments,+0.73%,	10/10,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
130,Fix Microsoft Defender for Endpoint sensor data collection in macOS,+0.73%,	10/10,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
131,Fix Microsoft Defender for Endpoint impaired communications in macOS,+0.73%,	10/10,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
132,Turn on Firewall in macOS,+0.73%,	10/10,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
133,Turn on Microsoft Defender Antivirus real-time protection in macOS,+0.73%,	10/10,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
134,Fix Microsoft Defender for Endpoint sensor data collection for Linux,+0.73%,	10/10,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
135,Fix Microsoft Defender for Endpoint impaired communications for Linux,+0.73%,	10/10,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
136,Set Microsoft Defender SmartScreen Microsoft Edge site and download checking to block or warn,+0.66%,	9/9,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
137,Create Safe Links policies for email messages,+0.66%,	9/9,Completed,No,Yes,Apps,Defender for Office,1/5/2023,None,
138,Turn on Microsoft Defender Antivirus PUA protection in block mode in macOS,+0.66%,	9/9,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
139,Update Microsoft Defender Antivirus definitions in macOS,+0.66%,	9/9,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
140,Update Microsoft Defender Antivirus definitions for Linux,+0.66%,	9/9,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
141,Enable policy to block legacy authentication,+0.58%,	8/8,Completed,No,Yes,Identity,Azure Active Directory,1/4/2023,None,
142,Do not expire passwords,+0.58%,	8/8,Completed,No,Yes,Identity,Azure Active Directory,1/4/2023,None,
143,Disable 'Anonymous enumeration of SAM accounts',+0.58%,	8/8,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
144,Disable 'Store LAN Manager hash value on next password change',+0.58%,	8/8,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
145,Restrict anonymous access to named pipes and Shares,+0.58%,	8/8,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
146,Disable SMBv1 server,+0.58%,	8/8,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
147,Disable the built-in Guest account,+0.58%,	8/8,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
148,Disable 'Insecure guest logons' in SMB,+0.58%,	8/8,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
149,Enable 'Safe DLL Search Mode',+0.58%,	8/8,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
150,Turn on all system-level Exploit protection settings,+0.58%,	8/8,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
151,Enable cloud-delivered protection,+0.58%,	8/8,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
152,Ensure BitLocker drive compatibility,+0.58%,	8/8,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
153,Turn on Safe Attachments in block mode,+0.58%,	8/8,Completed,No,Yes,Apps,Defender for Office,1/5/2023,None,
154,Enable Gatekeeper in macOS,+0.58%,	8/8,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
155,Enable Microsoft Defender Antivirus cloud-delivered protection in macOS,+0.58%,	8/8,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
156,Enable Microsoft Defender Antivirus cloud-delivered protection for Linux,+0.58%,	8/8,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
157,Remove shares from the root folder,+0.58%,	8/8,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
158,Ensure that mailbox intelligence is enabled,+0.58%,	8/8,Completed,No,Yes,Apps,Defender for Office,1/5/2023,None,
159,Ensure that intelligence for impersonation protection is enabled,+0.58%,	8/8,Completed,No,Yes,Apps,Defender for Office,1/5/2023,None,
160,Move messages that are detected as impersonated users by mailbox intelligence,+0.58%,	8/8,Completed,No,Yes,Apps,Defender for Office,1/5/2023,None,
161,Enable impersonated domain protection,+0.58%,	8/8,Completed,No,Yes,Apps,Defender for Office,1/5/2023,None,
162,Set the phishing email level threshold at 2 or higher,+0.58%,	8/8,Completed,No,Yes,Apps,Defender for Office,1/5/2023,None,
163,Enable impersonated user protection,+0.58%,	8/8,Completed,No,Yes,Apps,Defender for Office,1/5/2023,None,
164,Protect all users with a sign-in risk policy,+0.51%,	7/7,Alternate mitigation,No,Yes,Identity,Azure Active Directory,Not Applicable,None,We have implemented this via CA - set for all users.
165,Protect all users with a user risk policy,+0.51%,	7/7,Alternate mitigation,No,Yes,Identity,Azure Active Directory,Not Applicable,None,We have implemented this via CA - set for all users.
166,Set account lockout threshold to 5 or lower in macOS,+0.51%,	7/7,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
167,Enable System Integrity Protection (SIP) in macOS,+0.51%,	7/7,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
168,Enable FileVault Disk Encryption in macOS,+0.51%,	7/7,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
169,Create zero-hour auto purge policies for malware,+0.44%,	6/6,Completed,No,Yes,Apps,Defender for Office,1/5/2023,None,
170,Set minimum password length to 15 or more characters in macOS,+0.44%,	6/6,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
171,Unrestricted Access Accounts for Linux,+0.44%,	6/6,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
172,Enable password hash sync if hybrid,+0.37%,	5/5,Completed,No,Yes,Identity,Azure Active Directory,1/4/2023,None,
173,Disable sending unencrypted password to third-party SMB servers,+0.37%,	5/5,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
174,Enable Explorer Data Execution Prevention (DEP),+0.37%,	5/5,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
175,Block Flash activation in Office documents,+0.37%,	5/5,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
176,Enable 'Limit local account use of blank passwords to console logon only',+0.37%,	5/5,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
177,Disable 'WDigest Authentication',+0.37%,	5/5,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
178,Disable 'Network access: Let Everyone permissions apply to anonymous users',+0.37%,	5/5,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
179,Enable 'Domain member: Digitally sign secure channel data (when possible)',+0.37%,	5/5,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
180,Enable Set 'Domain member: Digitally encrypt secure channel data (when possible)',+0.37%,	5/5,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
181,Enable 'Domain member: Digitally encrypt or sign secure channel data (always)',+0.37%,	5/5,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
182,Enable 'Domain member: Require strong (Windows 2000 or later) session key',+0.37%,	5/5,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
183,Disable JavaScript on Adobe Acrobat 2017,+0.37%,	5/5,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
184,Enable Microsoft Defender Antivirus real-time behavior monitoring,+0.37%,	5/5,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
185,Reduce lateral movement path risk to sensitive entities,+0.37%,	5/5,Completed,No,Yes,Identity,Defender for Identity,1/5/2023,None,
186,Disable Print spooler service on domain controllers,+0.37%,	5/5,Completed,No,Yes,Identity,Defender for Identity,1/5/2023,None,
187,Stop legacy protocols communication,+0.37%,	5/5,Completed,No,Yes,Identity,Defender for Identity,1/5/2023,None,
188,Remove unsecure SID history attributes from entities,+0.37%,	5/5,Completed,No,Yes,Identity,Defender for Identity,1/5/2023,None,
189,"Turn on Microsoft Defender for Office 365 in SharePoint, OneDrive, and Microsoft Teams",+0.37%,	5/5,Completed,No,Yes,Apps,Defender for Office,1/5/2023,None,
190,Turn on Safe Documents for Office Clients,+0.37%,	5/5,Completed,No,Yes,Apps,Defender for Office,1/5/2023,None,
191,Turn on the common attachments filter setting for anti-malware policies,+0.37%,	5/5,Completed,No,Yes,Apps,Defender for Office,1/5/2023,None,
192,Set 'Enforce password history' to '24 or more password(s)' in macOS,+0.37%,	5/5,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
193,"Set 'Maximum password age' to '90 or fewer days, but not 0' in macOS",+0.37%,	5/5,Completed,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
194,Set action to take on high confidence spam detection,+0.37%,	5/5,Completed,No,Yes,Apps,Defender for Office,1/5/2023,None,
195,Set action to take on high confidence phishing detection,+0.37%,	5/5,Completed,No,Yes,Apps,Defender for Office,1/5/2023,None,
196,Set action to take on spam detection,+0.37%,	5/5,Completed,No,Yes,Apps,Defender for Office,1/5/2023,None,
197,Create an OAuth app policy to notify you about new OAuth applications,+0.29%,	4/4,Completed,No,Yes,Apps,Microsoft Defender for Cloud Apps,1/5/2023,None,
198,Create an app discovery policy to identify new and trending cloud apps in your org ,+0.22%,	3/3,Completed,No,Yes,Apps,Microsoft Defender for Cloud Apps,1/5/2023,None,
199,Create zero-hour auto purge policies for phishing messages,+0.22%,	3/3,Completed,No,Yes,Apps,Defender for Office,1/5/2023,None,
200,Set action to take on bulk spam detection,+0.22%,	3/3,Completed,No,Yes,Apps,Defender for Office,1/5/2023,None,
201,Ensure spam safety tips are enabled,+0.22%,	3/3,Completed,No,Yes,Apps,Defender for Office,1/5/2023,None,
202,Enable the domain impersonation safety tip,+0.22%,	3/3,Completed,No,Yes,Apps,Defender for Office,1/5/2023,None,
203,Enable the user impersonation safety tip,+0.22%,	3/3,Completed,No,Yes,Apps,Defender for Office,1/5/2023,None,
204,Enable the user impersonation unusual characters safety tip ,+0.22%,	3/3,Completed,No,Yes,Apps,Defender for Office,1/5/2023,None,
205,Create a custom activity policy to get alerts about suspicious usage patterns,+0.15%,	2/2,Completed,No,Yes,Apps,Microsoft Defender for Cloud Apps,1/5/2023,None,
206,Ensure that no sender domains are allowed for anti-spam policies,+0.15%,	2/2,Completed,No,Yes,Apps,Defender for Office,1/5/2023,None,
207,Designate more than one global admin,+0.07%,	1/1,Completed,No,Yes,Identity,Azure Active Directory,1/4/2023,None,
208,Use least privileged administrative roles,+0.07%,	1/1,Completed,No,Yes,Identity,Azure Active Directory,1/4/2023,None,
209,Create zero-hour auto purge policies for spam messages,+0.07%,	1/1,Completed,No,Yes,Apps,Defender for Office,1/5/2023,None,
210,Don't add allowed IP addresses in the connection filter policy ,+0.07%,	1/1,Completed,No,Yes,Apps,Defender for Office,1/5/2023,None,
211,Retain spam in quarantine for 30 days,+0.07%,	1/1,Completed,No,Yes,Apps,Defender for Office,1/5/2023,None,
212,Set the email bulk complaint level (BCL) threshold to be 6 or lower,+0.07%,	1/1,Completed,No,Yes,Apps,Defender for Office,1/5/2023,None,